cellid,beta,p,aligned_to,start,end,R_squared
18991,-2.92089067516321,0.00449383210533969,3,-0.5,0,0.0912162533641137
18993,-1.10666992133499,0.271633821573658,1,0,0.5,0.0142037960659542
18993,1.51640267134008,0.133217091463567,1,0.5,1,0.026340101213018
18993,0.349813806090744,0.727364515670981,3,-0.5,0,0.00143757392286537
18995,-0.821106559436469,0.413937796280975,1,0,0.5,0.00786953197320928
18995,0.0560584557243777,0.955429967320082,1,0.5,1,3.69698150434195e-05
18995,1.29960809729607,0.19733335150278,3,-0.5,0,0.0194832282378898
18999,-0.594476122320981,0.553810772742277,1,0,0.5,0.004140454303033
18999,1.79246415770414,0.0767022476807468,1,0.5,1,0.0364224137931034
18999,-0.83581351986933,0.405659515023632,3,-0.5,0,0.00815164271605695
19003,1.8785426669155,0.0638177743834147,1,0,0.5,0.0398618039135428
19003,-1.21603205968902,0.227419878847271,1,0.5,1,0.0170993942938763
19003,-4.25426497951323,5.47631529067472e-05,3,-0.5,0,0.17554787923605
19005,0.937140938832389,0.351404986329367,1,0,0.5,0.0102264928740645
19005,1.89782843716933,0.0611951512432758,1,0.5,1,0.0406510330105618
19005,1.97444005037396,0.0516571268151635,3,-0.5,0,0.043852453137104
19011,-1.85966579698698,0.0664756879539113,1,0,0.5,0.0390958751507471
19011,-1.42260999202563,0.15859680434649,1,0.5,1,0.0232559224389617
19011,-0.619860509835091,0.537047676715537,3,-0.5,0,0.00449997692689286
19013,-1.36222573323205,0.176812066550651,1,0,0.5,0.0213648594777757
19013,-0.454787601957569,0.650449341903067,1,0.5,1,0.00242740820911957
19013,-2.8850654178763,0.00498481355014661,3,-0.5,0,0.0891907539521899
19019,-0.491943438414394,0.624057936746054,1,0,0.5,0.00283907373011383
19019,1.60637167184612,0.111990323010717,1,0.5,1,0.0294635451052088
19019,0.234875840864206,0.81488358481765,3,-0.5,0,0.000648598583573246
19021,1.49539885913207,0.138603026717517,1,0,0.5,0.0256340520671817
19021,0.105215742249609,0.916458477584994,1,0.5,1,0.000130222480098752
19021,-0.0640666179126563,0.949071229977758,3,-0.5,0,4.82862745673218e-05
19023,1.20358769800578,0.232170545183496,1,0,0.5,0.016757043556144
19023,1.36354612285493,0.17639746280048,1,0.5,1,0.0214054099855273
